time,electricity,coldwater,hotwater
2014-03-20T03:00:00,0.1863,0.000,0.000
2014-03-20T04:00:00,0.2691,0.000,0.000
2014-03-20T05:00:00,0.8901,0.180,0.288
2014-03-20T06:00:00,0.7452,0.360,0.000
2014-03-20T07:00:00,0.2277,0.054,0.000
2014-03-20T08:00:00,0.207,0.000,0.000
2014-03-20T09:00:00,0.2898,0.000,0.000
2014-03-20T10:00:00,0.5382,0.180,0.240
2014-03-20T11:00:00,1.0557,1.206,2.400
2014-03-20T12:00:00,0.7866,0.018,0.000
2014-03-20T13:00:00,0.1863,0.000,0.000
2014-03-20T14:00:00,0.207,0.000,0.000
2014-03-20T15:00:00,0.4968,0.198,0.480
2014-03-20T16:00:00,1.4904,0.000,0.000
2014-03-20T17:00:00,1.3455,0.036,0.144
2014-03-20T18:00:00,1.5939,0.738,3.696
2014-03-20T19:00:00,0.7659,0.630,3.408
2014-03-20T20:00:00,0.5589,0.000,0.000
2014-03-20T21:00:00,0.207,0.000,0.000
2014-03-20T22:00:00,0.2691,0.036,0.048
2014-03-20T23:00:00,0.828,0.000,0.000
2014-03-21T00:00:00,1.1592,0.036,0.000
2014-03-21T01:00:00,0.6003,0.090,0.096
2014-03-21T02:00:00,0.1863,0.000,0.000
2014-03-21T03:00:00,0.207,0.000,0.000
2014-03-21T04:00:00,0.2277,0.000,0.000
2014-03-21T05:00:00,0.3312,0.180,0.288
2014-03-21T06:00:00,1.0143,0.198,0.336
2014-03-21T07:00:00,0.6831,0.090,0.000
2014-03-21T08:00:00,0.2277,0.000,0.000
2014-03-21T09:00:00,0.1656,0.000,0.000
2014-03-21T10:00:00,0.621,0.198,0.144
2014-03-21T11:00:00,0.6624,0.900,2.784
2014-03-21T12:00:00,0.5589,0.000,0.000
2014-03-21T13:00:00,0.8901,0.054,0.000
2014-03-21T14:00:00,0.6831,0.306,0.720
2014-03-21T15:00:00,0.9936,0.162,0.000
2014-03-21T16:00:00,1.2834,0.036,0.048
2014-03-21T17:00:00,1.1592,0.036,0.048
2014-03-21T18:00:00,1.2834,0.144,0.096
2014-03-21T19:00:00,1.7388,1.008,5.424
2014-03-21T20:00:00,1.3662,0.000,0.000
2014-03-21T21:00:00,0.9936,0.306,0.048
2014-03-21T22:00:00,0.6831,0.288,0.672
2014-03-21T23:00:00,0.207,0.540,2.304
